ID,left-hand context (one sentence),SENTENCE,right-hand context (one sentence),SOURCE,PET,PET_LEMMATIZED,LITERAL_TRANSLATION,NON_EUPH_EQUIVALENT,NON_EUPH_EQUIVALENT_TRANSLATION,CATEGORY,LABEL,A,J,U,W,EUPH_STATUS
1,"I wiesz, co ja im wtedy odpowiadałam?","Że nie zjem obiadu, bo nie starczy mi w brzuszku miejsca na deser.","– Lotka zaczęła się śmiać, a Hesio trochę później do niej dołączył.",KWJP,brzuszku,brzuszek,tummy,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
2,"A że się przy tym trochę pomęczy, czasem nie doje albo będzie chodzić w dziurawych butach?","Że będzie musiała temu lub owemu tłumaczyć, że woli przez tydzień jeść ziemniaki z kefirem niż robić coś, w co nie wierzy, co jest wbrew Dorotkowości, że woli spać do południa i nie mieć rano do czego wstawać, ale za to spać snem sprawiedliwego, niż kombinować po nocach, jak zadowolić kogoś, kogo się po prostu zadowolić nie da, że Dorotkowe sumienie po prostu ma bardzo jasno wyznaczone granice kompromisu?",To się Dorotce wydawało niską ceną w zamian za spokój ducha.,KWJP,zadowolić kogoś,zadowolić kogoś,to please somebody,-,-,sex,0.0,0,0,0,X,sometimes_euph
3,"Tymczasem Katechizm Kościoła katolickiego jednoznacznie stwierdza, że władze cywilne powinny zakazać produkcji i rozpowszechniania materiałów pornograficznych.","Żadnym rządzącym, odwołującym się do chrześcijaństwa, nie udało się tego zrobić nawet na poziomie „świerszczyków”, papierowych magazynów.",Co tu mówić o internecie.,KWJP,świerszczyków,świerszczyk,little cricket,czasopismo pornograficzne,pornographic magazine,sex,1.0,1,1,1,X,always_euph
4,"I nie na żarty przeraził człowieka, który bez mrugnięcia okiem ćwiartował swoje ofiary, po tym jak już obdarł je żywcem ze skóry.","Żadna bowiem, nawet po wypatroszeniu, nie próbowała chodzić, powłócząc za sobą metrami jelit i innymi podrobami, jak robił to teraz wspomniany Jędrzej, zdun ze Świecia, który trafił za kratki za zabicie klientki.","Zatłukł ją szamotką, ponieważ miał kaca, a że przepił już pobraną z góry zapłatę, brakowało mu na przysłowiowego klina…",KWJP,za kratki,za kratkami,behind the bars,w więzieniu,in prision,offenses,1.0,1,1,X,1,always_euph
5,I żeby nikt nie czuł się oszukany.,"Zwłaszcza że mieliśmy specyficzną sytuację, bo żona wzięła duży kredyt i pożyczyła te pieniądze koleżance, która ich nigdy nie oddała.",Przez to zablokowano mi konta w firmie i możliwość płacenia kartami kredytowymi.,KWJP,nie oddała,nie oddać,to not return,ukraść,to steal,offenses,1.0,1,1,X,1,always_euph
6,"Przyjechali, zabrali mnie.","Zrobili badania, z których wynikło, że jestem świeżo po stosunku.","W sądzie jego przyjaciel zeznał, że też płacił mi za seks.",KWJP,stosunku,stosunek,relationship,stosunek płciowy,sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
7,"Smutne, z poszarzałymi twarzami, nie rozglądały się, tylko szybko otworzyły książeczki do nabożeństwa i zatopiły się w lekturze.","Zofia grzeszyła, udając modlitwę.",W rzeczywistości jednak myślała o Kacprze.,KWJP,grzeszyła,grzeszyć,to sin,-,-,sex,0.0,0,0,0,X,sometimes_euph
8,"– To są bardzo empatyczne kobiety, mam na myśli oczywiście porządne dziwki, wykształcone, nie jakieś kocmołuchy z byle agencji.","Znam kilka młodych lekarek, które puszczają się, by dorobić do nędznej państwowej pensji.","Znam też parę apetycznych studentek medycyny, a także dwie doktorantki z filozofii, jedną o poglądach prawicowych, a drugą lewicowych.",KWJP,puszczają się,puszczać się,to let go,mieć stosunki płciowe z różnymi mężczyznami,to have sexual intercourses with various men,sex,1.0,1,1,1,X,always_euph
9,"Rządzą ci, co żyją.","Zmarły idzie do piachu, i wsio.",Podczas wojny sam ludzi do grobu pchałem.,KWJP,idzie do piachu,iść do piachu,go to the sand,-,-,death,0.0,X,0,1,0,sometimes_euph
10,Niemal co noc nachodziły go cudze myśli.,"Zjawiały się niczym duchy, by zabrać go do siebie.","Nim się obejrzał, już tkwił w świecie równoległym, w interiorze zwanym umysłem.",KWJP,zabrać,zabrać,to take,-,-,offenses,0.0,0,0,X,0,sometimes_euph
11,"Co ciekawe, wystawki w Niemczech działają pomimo pewnych niesprzyjających przepisów prawnych.","Zgodnie z kodeksem karnym, zabieranie rzeczy wystawionych na ulicę jest kradzieżą, pozostają one bowiem własnością wystawiającego aż do momentu zapakowania ich do śmieciarki.","Ale wystarczy kwitek od właściciela potwierdzający, że daną rzecz zabraliśmy za jego zgodą.",KWJP,zabieranie,zabieranie,taking,kradzież,theft,offenses,0.0,0,1,X,0,sometimes_euph
12,"Dostawała furii, że Andy Warhol rejestruje ich rozmowy, a potem wykorzystuje jej wypowiedzi w swoich filmach.","Zdecydowała się go zabić, bo nie oddał jej dramatu, którego jedną z dwóch istniejących kopii mu pożyczyła.","Żyła w ciągłym strachu, że zostanie okradziona z własnych słów i pomysłów.",KWJP,nie oddał,nie oddać,to not return,ukraść,to steal,offenses,1.0,1,1,X,0,always_euph
13,Jednak na początku XXI w. ostro skręcił w stronę Wielkiej Brytanii i do tego zaczął się poruszać dwa razy szybciej niż wcześniej — z prędkością blisko 17 cm na rok.,"Zdaniem uczonych powodem tego ""skoku w bok"" jest zmiana masy w różnych rejonach Ziemi.","Korzystając z amerykańsko-niemieckich satelitów GRACE badających zmienność ziemskiego pola grawitacyjnego, naukowcy dokładnie pomierzyli to zjawisko.",KWJP,skoku w bok,skok w bok,jump to the side,-,-,sex,0.0,0,0,0,X,sometimes_euph
14,Do tej pory przeprowadziliśmy kilka emisji na łączną kwotę ponad 200 mln zł - wskazuje Zbigniew Okoński.,Zdaniem Mirosława Urbańskiego z banku inwestycyjnego Goldman Sachs obligacja korporacyjna przeżywa drugą młodość w całej Europie.,Trend ten dotrze także do Polski.,KWJP,drugą młodość,druga młodość,second youth,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
15,W jednym z najtrudniejszych momentów mojego życia.,"Zawsze starałem się tak postępować, żeby nikogo nie skrzywdzić.","By, jak to mówią, czynnik ludzki był zawsze na pierwszym miejscu.",KWJP,skrzywdzić,skrzywdzić,to hurt,-,-,sex,0.0,0,0,0,X,sometimes_euph
16,"Obchodziła się z mężem jak z jajkiem, byle tylko nie zrzędził i nie utyskiwał na swój los.","Zauważyła, że w ostatnich miesiącach mocno posunął się w latach i zdziadział.","Nie chciało mu się nawet ubierać, całe dnie spędzał w piżamie, przed telewizorem",KWJP,posunął się,posunąć się,to move,zestrzarzeć się,to age,physical appearance,1.0,X,1,1,1,always_euph
17,"Padła mu prawdopodobnie komórka, bo Jarosław nie mógł się do niego dodzwonić.","Zatelefonowałem do Pawła Szefernakera, mojego asystenta, który też był w pociągu, żeby go odnalazł i pożyczył mu swoją.",Przyszedł ambasador Bahr.,KWJP,pożyczył,pożyczyć,to borrow/to lend,-,-,offenses,0.0,0,0,X,0,sometimes_euph
18,"Dopiero potem, jako dwunastolatek może, dowiedziałem się, że ten cały Mrożek również pisze.","Zaśmiewaliśmy się do łez, oglądając skróconą wersję historii ojczystej, poczet królów, Polaków w rogatywce z pawim piórkiem… rodzice potem gdzieś nam wygrzebali i Mrożka późniejszego, z 1982 roku, z „Iskier”, ale on bawił nas nieco mniej (choć do dziś pamiętam wielominutowy atak śmiechu po: – Ej, ty, ryba. – Co? – Posuń się); Polska w obrazach na długi czas pozostała naszym Mrożkiem najukochańszym.","Dopiero potem, jako dwunastolatek może, dowiedziałem się, że ten cały Mrożek również pisze.",KWJP,posuń się,posunąć się,to move,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
19,"Pewnej niedzieli wieczorem w przebraniu napadł na swojego przełożonego, zaskoczył go podczas liczenia pieniędzy z tacy.","Zarzucił mu na głowę worek, związał go i zabrał pieniądze.","Chwilę później, już w sutannie, przybiega, ratuje proboszcza i z dumą pokazuje worek z kasą, którą rzekomo odebrał włamywaczom.",KWJP,zabrał,zabrać,to take,ukraść,to steal,offenses,1.0,1,1,X,1,always_euph
20,Potem najbardziej wzruszająca wizyta: w namiotach młodzieży żydowskiej: sieroty z płonącymi oczyma i płonącymi krawatami.,"Zapytuję, jakie jest współżycie z młodzieżą polską — mówią, że idealne.","Wszędzie muszę przemawiać, więc wygłaszam jakieś improwizowane mowki.",KWJP,współżycie,współżycie,coexistence,-,-,sex,0.0,0,0,0,X,sometimes_euph
21,"Weekend w stolicy może upłynąć w klimatach tropikalnych, a wszystko za sprawą wystawy ptaków egzotycznych.","Zaprezentowane zostaną kanarki, papugi, amadyny, mewki itp.",Wystawa będzie czynna w sobotę w godz. 11–18 i w niedzielę w godz. 10–15.,KWJP,mewki,mewka,little gull,-,-,sex,0.0,0,0,0,X,sometimes_euph
22,"Facet się zmieszał, zapłacił i wyszedł.",Zapraszam – powiedział grubszy i Maciek usiadł w fotelu.,"Pozwolił się owinąć papierem wokół szyi i przykryć śliską narzutą, spojrzał w lustro.",KWJP,grubszy,grubszy,thicker,gruby,fat,physical appearance,1.0,X,1,0,1,sometimes_euph
23,"To nie jego wina, że wreszcie uległ.","Zamiast jej pilnować, urządzają polowanie, straszą obiciem kijami i jeszcze złoto wciskają do garści, jakby nie był szlachcicem, tylko dziewką uliczną!","Poniżony, z piętnem hańby doznanej od kupca uzbrojonego w kij, aby uratować honor, Jan postanowił się zabić.",KWJP,dziewką,dziewka,maiden,prostytutka,prostitute,sex,1.0,1,1,1,X,always_euph
24,"Na chwilę, tylko na chwilę, zanim nie ubierze butów.",Zabieranie dziecka z wersalki i wkładanie do wózka.,Uspokajanie dziecka.,KWJP,zabieranie,zabieranie,taking,-,-,offenses,0.0,0,0,X,0,sometimes_euph
25,Silne państwo może sobie pozwolić na względną wyrozumiałość.,"Za zdradę oraz za promocję zdrady państwa, które niszczą nasz byt (w przypadku głowy państwa mówię tutaj dosłownie o odebraniu życia), należy stosować najwyższy wymiar kary.","Dla tych, którzy (w granicach rozsądku) krytykują „GW”, a jednocześnie sami forsują jedynie słuszną linię po „naszej stronie”, w odmiennym punkcie widzenia widząc prowokatora – mam konstruktywną propozycję.",KWJP,najwyższy wymiar kary,najwyższy wymiar kary,the highest penalty,śmierć,death,death,1.0,X,1,1,1,sometimes_euph
26,"Ostatecznie nazwałam je Germanicus, imieniem rzymskiego wodza legionów nadreńskich, człowieka uwielbianego przez żołnierzy, szlachetnego i chyba całkiem zapomnianego.","Za to jego syna pamiętali wszyscy – ikonę pophistorii, Kaligulę, który jako cesarz spółkował z własnymi siostrami i kazał usypywać góry na równinach.","Nazwa wydawała się nieco szorstka, jak sam język niemiecki, ale idealnie pasowała do tego miejsca.",KWJP,spółkował z własnymi siotrami,spółkować z kimś,to partner with somebody,mieć z kimś stosunek płciowy,to have sexual intercourse with someone,sex,1.0,1,1,1,X,always_euph
27,"Płatem żółwiej skóry, rozpiętym pomiędzy kiwającym w skwarze palcem minaretu a wymarłymi koszarami po lewej.","Z zetlałego na kumin czerstwego cielska — całego w zmarszczkach i łuskach światłocienia — sterczały zbrojeniowe druty, kable i rdzewiejące rury; pokrywał je gruz i skorupy wypalanej gliny.","Słońce, matowe i mętne, toczyło wydmy brudu i cuchnących śmieci.",KWJP,gliny,glina,clay,-,-,offenses,0.0,0,0,X,0,sometimes_euph
28,"Znajdował się tam mąż pewnej pani, która sama pozostała w Rosji.",Z tą panią Jakuszew pozostawał już od dłuższego czasu w zażyłych stosunkach i zamierzał się ożenić.,Chodziło o rozwód.,KWJP,zażyłych stosunkach,zażyłe stosunki,close relations,współżycie płciowe,sexual intercourse,sex,1.0,1,0,1,X,sometimes_euph
29,Na rondzie koło firmy Xerotronic zatrzymałem się przed przejściem dla pieszych.,"Z podwórka firmy wyjechało wtedy czarne auto na włoskich tablicach i chwilę później na pełnym gazie rąbnęło w bok mojego samochodu — opowiada mężczyzna, który zgłosił się do ""Wyborczej"".",— Twarzy tamtego kierowcy nie zapomnę do końca życia.,KWJP,rąbnęło,rąbnąć,to bang,-,-,offenses,0.0,0,0,X,1,sometimes_euph
