ID,TEXT,PET_WORDFORM,PET,TRANSLATION,LABEL,CATEGORY,YEAR,NOTES,PUN,LABEL2,LABEL3,NOTES2,SOURCE,LEMMA_COUNT,EUPH_STATUS
1,"""Ми досягли <взаємовигідної угоди> "", - зазначив прем'єр.",взаємовигідної угоди,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
4,"<Беріть винагороди> від кредитної картки Отримання кредитної картки, яка пропонує солідні винагороди під час покупки, допоможе вам заробити додаткові гроші без зусиль.",беріть винагороди,брати винагороду,take rewards,0,corruption,,,,,,,Grac v.18,3,sometimes_euph
13,<Темна справа>. просто так не стріляють,темна справа,темна справа,mysterious situation,0,corruption,,,,,,,pawuk,2,sometimes_euph
17,«Вона маскувала продаж під виглядом « <благодійного внеску> »: пропонувала громадянам придбати спорядження за«спеціальною ціною» - 50 % від повної вартості.,благодійного внеску,благодійний внесок,voluntary donation,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
20,"15 червня до нього звернулися військовослужбовці Полтавського районного територіального центру комплектування та соціальної підтримки зі зверненням. У ньому військові просили депутата <допомоги у вирішенні питання> будівництва колумбарної стіни, яке планують використовувати для поховання полеглих захисників.",допомоги у вирішенні питання,допомога  у вирішенні питання,assistance in resolving the issue,0,corruption,,,,,,,pawuk,8,sometimes_euph
26,"А з ті, хто не підписав декларацію, платять символічно по 100 гривень <благодійного внеску> ”, – відмічає головний лікар.",благодійного внеску,благодійний внесок,voluntary donation,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
36,"А як місили ногами у ваганах глину і конячій навоз з половою , бо треба хату <підмазати>. Є що згадати.",підмазати,підмазати,plaster,0,corruption,,,,,,,pawuk,6,sometimes_euph
41,"Адже наша країна залишається із закритими ""<соціальними ліфтами> "" в політиці, економіці та інших сферах.",соціальними ліфтами,соціальний ліфт,fair promotion mechanism,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
46,"Анні Делві вдавалося відвідувати всі найкращі вечірки, бувати у всіх«потрібних» місцях, <мати знайомства> з відомими людьми, директорами, художниками чи, наприклад, актором Макколеєм Калкіним.",мати знайомства,мати знайомство,have acquaintances,0,corruption,,,,,,,Grac v.18,7,sometimes_euph
48,"Ба більше, більшість найсильніших корпорацій планети починалася з <сімейного бізнесу>.",сімейного бізнесу,сімейний бізнес,business,0,corruption,,,,,,,Grac v.18,7,sometimes_euph
50,"Багато, хто воював на Донбасі до повномасштабного вторгнення, а такі паразити-бюрократи-корупціонери гетьманцеви грабували їх <сімейний бізнес> в тилу.",сімейний бізнес,сімейний бізнес,family business,0,corruption,,,,,,,pawuk,7,sometimes_euph
54,"Біда в тому, що скрізь є умовності, щоб адекватна людина потрапила у владу має працювати <соціальний ліфт>.",соціальний ліфт,соціальний ліфт,fair promotion mechanism,0,corruption,,,,,,,pawuk,8,sometimes_euph
55,"Бідна дівчина, — пожалів подумки Борис продавщицю, — отака -то розплата за доброту. І наївність..Ну, нічого, переживе, завтра забіжу до неї, <занесу цукерки> .",занесу цукерки,занести цукерки,bring some candies,0,corruption,,,,,,,Grac v.18,1,sometimes_euph
59,"Бо якщо учасників АТО в нас у Львові було близько 7 тисяч, то учасників війни з росією вже буде більше 35 тисяч. Це велика кількість людей, яким буде потрібна різна <допомога у вирішенні питань>, і треба мати всі можливості, аби максимально допомогти їм у цьому.",допомога у вирішенні питань,допомога  у вирішенні питання,assistance in resolving the issue,0,corruption,,,,,,,pawuk,8,sometimes_euph
65,"В моєї баби селі до Паски треба було хату побілити щороку ззовні та через рік всередині, а також <підмазати> околи (кути і фундамент).",підмазати,підмазати,plaster,0,corruption,,,,,,,pawuk,6,sometimes_euph
71,В результаті спільної роботи ми підписали ряд надзвичайно важливих і <взаємовигідних угод> між нашими країнами.,взаємовигідних угод,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
73,В Україні вдруге виплатили <винагороду за сприяння> у викритті корупції.,винагороду за сприяння,винагорода за сприяння,a financial reward,0,corruption,,,,,,,https://www.stopcor.org/ukr/section-uanews/news-vinagoroda-za-vikrittya-koruptsii-nazk-viplatilo-majzhe-133-mln-grn-21-10-2024.html,4,sometimes_euph
76,Вдячний іспанській стороні за зусилля та готовність сприяти підписанню цієї довгоочікуваної та <взаємовигідної угоди> .,взаємовигідної угоди,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
78,"Взяли участь у тендері чотири фірми. Найдорожче свої <послуги оцінила> волинська компанія«Західавтодор» — 4,30 млн грн.",послуги оцінила,послугу оцінити,set the price for the services,0,corruption,,,,,,,Grac v.18,6,sometimes_euph
83,"Відома голівудська акторка Анджеліна Джолі, таємно продала частку <сімейного бізнесу> з виноробства російському олігарху.",сімейного бізнесу,сімейний бізнес,family business,0,corruption,,,,,,,pawuk,7,sometimes_euph
84,"Він відвідував письменницькі збори, <мав знайомства> в літературних колах, проте ні з ким вони не переросли в тісні стосунки.",мав знайомства,мати знайомство,have acquaintances,0,corruption,,,,,,,Grac v.18,7,sometimes_euph
85,"Він може ( 1 ) віддати конверт з документами листоноші відразу у той день, коли його отримав, ( 2 ) повідомити листоноші, коли він має забрати конверт, але не пізніше як за 2 робочі дні дня голосування, ( 3 ) віднести його у будь-яке поштове відділення ( за 3 робочі дні до дня голосування ) або поштове відділення у межах виборчої дільниці ( за 2 робочі дні до дня голосування ) і ( 4 ) особисто <занести конверт> дільничній виборчій комісії у день голосування.",занести конверт,занести  конверт,take the envelope to,0,corruption,,,,,,,Grac v.18,1,sometimes_euph
87,"Він підкреслив, що служба в армії є чи не єдиним <соціальним ліфтом> для людей, аби заробити грошей.",соціальним ліфтом,соціальний ліфт,fair promotion mechanism,0,corruption,,,,,,,pawuk,8,sometimes_euph
93,️Віталій Дудківський разом із дружиною вже понад десять років займаються  <сімейним бізнесом>.,сімейним бізнесом,сімейний бізнес,family business,0,corruption,,,,,,,pawuk,7,sometimes_euph
95,"Водночас, йдеться в повідомленні, адміністрація морських портів України оголосила тендер із обрання підрядника, який займеться підйомом танкера. <Послуги оцінили> майже в 25 мільйонів гривень — пізніше ці гроші планують стягнути з власника затонулого судна.",послуги оцінили,послугу оцінити,set the price for the services,0,corruption,,,,,,,Grac v.18,6,sometimes_euph
98,"Все, що було до цього, — дрібні ремонти: <підмазати> , підфарбувати. Сьогодні ми почали капітальний ремонт.",підмазати,підмазати,plaster,0,corruption,,,,,,,Grac v.18,6,sometimes_euph
105,"Голова ВРП Ігор Бенедисюк зазначив, що <прискорення процедури> дозволить судам заарештовувати суддів в межах передбачених Кримінальним процесуальним кодексом України трьох діб із моменту затримання.",прискорення процедури,прискорення процедури,legal facilitation,0,corruption,,,,,,,Grac v.18,8,sometimes_euph
110,"Готівку з жінок беруть під виглядом <благодійних внесків> із фіксованою сумою за обстеження, які закладу вже оплачує Національна служба здоров’я України (НСЗУ).",благодійних внесків,благодійний внесок,voluntary donation,0,corruption,,,,,,,pawuk,13,sometimes_euph
114,"Державна податкова служба максимально відкрита для надання консультацій платникам податків, роз’яснень з питань податкового законодавства та <допомоги у вирішенні питань>, пов’язаних

із податками.",допомоги у вирішенні питань,допомога  у вирішенні питання,assistance in resolving the issue,0,corruption,,,,,,,pawuk,8,sometimes_euph
120,"Для уникнення свого викриття, волонтерка давала підписувати відповідні акти, у яких зазначалося, що це не оплата за товар, а <благодійний внесок>.",благодійний внесок,благодійний внесок,voluntary donation,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
124,"До речі, Тіна останнім часом носить переважно вбрання від ""LouisVuitton "". Схоже, зірка уклала з брендом якусь <взаємовигідну угоду>",взаємовигідну угоду,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
128,"Дослідження, проведене Національним університетом Сінгапуру, показало, що більшість <сімейних бізнесів> зазнають невдачі внаслідок внутрішніх причин, а не зовнішніх.",сімейних бізнесів,сімейний бізнес,business,0,corruption,,,,,,,Grac v.18,7,sometimes_euph
138,"Є ще такий момент, що оголошують різні <винагороди за сприяння> правоохоронним органам.",винагороди за сприяння,винагорода за сприяння,a financial reward,0,corruption,,,,,,,Grac v.18,4,sometimes_euph
140,"ЄС і Сполучені Штати повинні зробити все для того, щоб переговори щодо цієї честолюбної, всеосяжної і <взаємовигідної угоди> були завершені до кінця 2015 року",взаємовигідної угоди,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
141,Жінка отримувала від них грошові кошти під приводом зборів <благодійних внесків>  на потреби Збройних сил України.,благодійних внесків,благодійний внесок,voluntary donation,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
142,"З іншого боку,«Спартак» не готовий достроково розривати <взаємовигідні угоди> з підприємствами і навчальними закладами, які проводять на арені загальноміські спортивні і культурні заходи.",взаємовигідні угоди,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,Grac v.18,13,sometimes_euph
154,"За його словами, 21 з 30 ключових матеріалів, необхідних Європі, може бути наданий Україною в рамках <взаємовигідної угоди>.",взаємовигідної угоди,взаємовигідна угода,mutually beneficial deal,0,corruption,,,,,,,pawuk,13,sometimes_euph
155,"За її словами, Пристайка знають як професійного дипломата, який <має знайомства> у західних країнах.",має знайомства,мати знайомство,have acquaintances,0,corruption,,,,,,,Grac v.18,7,sometimes_euph
163,За таку безумовну любов до котика гріх було б <брати винагороду>. Сподіваюся він якнайшвидше знайдеться,брати винагороду,брати винагороду,take a reward,0,corruption,,,,,,,pawuk,3,sometimes_euph
